"Accession","varImp","Primary_function","Description","Biological_Process","Cellular_Component","Molecular_Function"
"P09211",0.00169840708430107,"glutathione_metabolism","Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2","cell cycle OR cell proliferation;other metabolic processes;stress response;developmental processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;mitochondrion;nucleus;other cell component","enzyme regulator activity;other molecular function"
"Q9BYR4",0.00169216659424896,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 4-3 OS=Homo sapiens OX=9606 GN=KRTAP4-3 PE=2 SV=2","other biological processes","cytosol;cytoskeleton",""
"Q9BYS1",0.00168707442920599,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 1-5 OS=Homo sapiens OX=9606 GN=KRTAP1-5 PE=1 SV=1","","cytosol;cytoskeleton",""
"J3KRY3",0.00168073473023611,"RNA_processing","Small nuclear ribonucleoprotein-associated protein N (Fragment) OS=Homo sapiens OX=9606 GN=SNRPN PE=4 SV=1","","",""
"H7C131",0.00167554415423656,"beta_oxidation","3-ketoacyl-CoA thiolase, peroxisomal (Fragment) OS=Homo sapiens OX=9606 GN=ACAA1 PE=1 SV=1","","","other molecular function"
"Q9Y316",0.0016689512089493,"cell_migration","Protein MEMO1 OS=Homo sapiens OX=9606 GN=MEMO1 PE=1 SV=1","other biological processes","",""
"Q14533",0.00166829600925549,"structural_proteins_hair_nail_epidermis","Keratin, type II cuticular Hb1 OS=Homo sapiens OX=9606 GN=KRT81 PE=1 SV=3","","cytosol;cytoskeleton",""
"H3BNX8",0.00166754765768822,"oxidative_phosphorylation","Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens OX=9606 GN=COX5A PE=1 SV=1","other metabolic processes","other membranes;mitochondrion","other molecular function"
"Q5QPN9",0.00166672333966816,"protein_modification","Acyl-protein thioesterase 2 OS=Homo sapiens OX=9606 GN=LYPLA2 PE=1 SV=1","","","other molecular function"
"Q9BYR3",0.00165892409189329,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 4-4 OS=Homo sapiens OX=9606 GN=KRTAP4-4 PE=1 SV=1","","cytosol;cytoskeleton",""
"P26639",0.00165448259472452,"tRNA_metabolism","Threonine--tRNA ligase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS1 PE=1 SV=3","protein metabolism;RNA metabolism OR transcription;other metabolic processes","cytosol","nucleic acid binding activity;other molecular function"
"P19623",0.00165296943265887,"cell_growth_control","Spermidine synthase OS=Homo sapiens OX=9606 GN=SRM PE=1 SV=1","other metabolic processes;other biological processes","cytosol","other molecular function"
"A0A384DVK4",0.0016469256414194,"(none/unknown)","Coiled-coil domain-containing protein R3HCC1L OS=Homo sapiens OX=9606 GN=R3HCC1L PE=1 SV=1","","",""
"P04083",0.00164403968577791,"inflammation_regulation","Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2","cell-cell signaling;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;nucleus;other cytoplasmic organelle;other cell component","signal transduction activity or receptor binding;enzyme regulator activity;nucleic acid binding activity;other molecular function"
"A0A140TA58",0.00164196876302139,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 9-2 OS=Homo sapiens OX=9606 GN=KRTAP9-2 PE=1 SV=1","","cytoskeleton",""
"P53582",0.00164005004076074,"protein_modification","Methionine aminopeptidase 1 OS=Homo sapiens OX=9606 GN=METAP1 PE=1 SV=2","protein metabolism;other metabolic processes;other biological processes","cytosol;other cell component","other molecular function"
"P30041",0.00163488052834861,"oxidative_stress_response","Peroxiredoxin-6 OS=Homo sapiens OX=9606 GN=PRDX6 PE=1 SV=3","other metabolic processes;stress response;other biological processes","non-structural extracellular;cytosol;mitochondrion;nucleus;other cytoplasmic organelle;other cell component","other molecular function"
"P69905",0.0016332295919045,"oxygen_transport","Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2","other metabolic processes;stress response;transport;other biological processes","non-structural extracellular;cytosol;translational apparatus;other cell component","other molecular function"
"Q9BYQ3",0.00163004292203727,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 9-3 OS=Homo sapiens OX=9606 GN=KRTAP9-3 PE=1 SV=1","","cytosol;cytoskeleton","other molecular function"
"O43488",0.00161631747611265,"xenobiotics_&_alcohol_metabolism","Aflatoxin B1 aldehyde reductase member 2 OS=Homo sapiens OX=9606 GN=AKR7A2 PE=1 SV=3","other metabolic processes","cytosol;ER/Golgi","other molecular function"
"P61970",0.00161292652084193,"nuclear_transport","Nuclear transport factor 2 OS=Homo sapiens OX=9606 GN=NUTF2 PE=1 SV=1","transport;other biological processes","other membranes;cytosol;nucleus","other molecular function"
"B5ME19",0.00161051399116377,"translation","Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1","cell organization and biogenesis;protein metabolism;other metabolic processes","translational apparatus;other cell component","nucleic acid binding activity;other molecular function"
"Q9Y4B5",0.00161029157773531,"cell_organization","Microtubule cross-linking factor 1 OS=Homo sapiens OX=9606 GN=MTCL1 PE=1 SV=5","cell organization and biogenesis;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytoskeleton;other cell component","cytoskeletal activity;other molecular function"
"E7EX73",0.00160402474944518,"translation","Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=1","protein metabolism;other metabolic processes","cytosol","nucleic acid binding activity"
"Q9H0Q0",0.00160138894902701,"cell_organization","CYFIP-related Rac1 interactor A OS=Homo sapiens OX=9606 GN=CYRIA PE=2 SV=1","cell organization and biogenesis","other membranes","other molecular function"
"P07900",0.00159459423418285,"protein_folding","Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5","cell organization and biogenesis;protein metabolism;DNA metabolism;other metabolic processes;stress response;transport;developmental processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;mitochondrion;nucleus;other cytoplasmic organelle;other cell component","enzyme regulator activity;cytoskeletal activity;other molecular function"
"P15311",0.00158712459209706,"cell_organization","Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4","cell adhesion;cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;transport;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cytoplasmic organelle;other cell component","cytoskeletal activity;other molecular function"
"P15090",0.00158150962423503,"intracellular_transport","Fatty acid-binding protein, adipocyte OS=Homo sapiens OX=9606 GN=FABP4 PE=1 SV=3","transport;other biological processes","cytosol;nucleus;other cell component","signal transduction activity or receptor binding;transporter activity;other molecular function"
"H3BV16",0.00157936443123424,"oxidative_phosphorylation","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 (Fragment) OS=Homo sapiens OX=9606 GN=NDUFB10 PE=1 SV=8","","other membranes;mitochondrion",""
"P50416",0.00157775055294274,"other_transmembrane_transport","Carnitine O-palmitoyltransferase 1, liver isoform OS=Homo sapiens OX=9606 GN=CPT1A PE=1 SV=2","other metabolic processes;transport;developmental processes;other biological processes","other membranes;mitochondrion","other molecular function"
"O00391",0.00156938820166129,"ECM_organization","Sulfhydryl oxidase 1 OS=Homo sapiens OX=9606 GN=QSOX1 PE=1 SV=3","cell organization and biogenesis;other biological processes","non-structural extracellular;other membranes;ER/Golgi;other cell component","other molecular function"
"Q9BYR6",0.00156893900845776,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 3-3 OS=Homo sapiens OX=9606 GN=KRTAP3-3 PE=1 SV=1","","cytosol;cytoskeleton","other molecular function"
"P60174",0.00155183029950502,"glycolysis","Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=3","other metabolic processes","","other molecular function"
"P16401",0.00155103128873608,"DNA_packaging","Histone H1.5 OS=Homo sapiens OX=9606 GN=H1-5 PE=1 SV=3","cell organization and biogenesis;other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function"
"O00244",0.0015494908488073,"intracellular_transport","Copper transport protein ATOX1 OS=Homo sapiens OX=9606 GN=ATOX1 PE=1 SV=1","stress response;transport;other biological processes","cytosol","other molecular function"
"P52789",0.00154256457439898,"glycolysis","Hexokinase-2 OS=Homo sapiens OX=9606 GN=HK2 PE=1 SV=2","cell organization and biogenesis;other metabolic processes;stress response;transport;developmental processes;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;ER/Golgi;other cell component","kinase activity;other molecular function"
"P16152",0.00154055528412267,"xenobiotics_&_alcohol_metabolism","Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX=9606 GN=CBR1 PE=1 SV=3","other metabolic processes;other biological processes","cytosol","other molecular function"
"P52758",0.00153767147845254,"AA_catabolic_process","2-iminobutanoate/2-iminopropanoate deaminase OS=Homo sapiens OX=9606 GN=RIDA PE=1 SV=1","cell cycle OR cell proliferation;RNA metabolism OR transcription;other metabolic processes;developmental processes;other biological processes","cytosol;mitochondrion;nucleus;other cytoplasmic organelle;other cell component","nucleic acid binding activity;other molecular function"
"P17931",0.00152765806493874,"innate_immune_system","Galectin-3 OS=Homo sapiens OX=9606 GN=LGALS3 PE=1 SV=5","RNA metabolism OR transcription;other metabolic processes;stress response;signal transduction;other biological processes","plasma membrane;other membranes;mitochondrion;nucleus;other cell component","signal transduction activity or receptor binding;enzyme regulator activity;other molecular function"
"P21796",0.00152722811883239,"ion_transmembrane_transport","Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens OX=9606 GN=VDAC1 PE=1 SV=2","cell-cell signaling;other metabolic processes;stress response;transport;other biological processes","plasma membrane;other membranes;mitochondrion;ER/Golgi","transporter activity;other molecular function"
"P05388",0.00152582602040114,"translation","60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1","cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes","cytosol;ER/Golgi;translational apparatus;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"Q9Y4E8",0.00152167171421346,"intracellular_signalling","Ubiquitin carboxyl-terminal hydrolase 15 OS=Homo sapiens OX=9606 GN=USP15 PE=1 SV=3","protein metabolism;other metabolic processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;mitochondrion;nucleus;other cell component","signal transduction activity or receptor binding;other molecular function"
"C9JF17",0.00152046924529803,"apolipoproteins_lipid_transport","Apolipoprotein D (Fragment) OS=Homo sapiens OX=9606 GN=APOD PE=1 SV=1","transport;other biological processes","non-structural extracellular","other molecular function"
"Q9Y446",0.001518775023486,"cell_adhesion_&_contact","Plakophilin-3 OS=Homo sapiens OX=9606 GN=PKP3 PE=1 SV=1","cell adhesion;cell organization and biogenesis;other biological processes","plasma membrane;other membranes;nucleus;other cell component","other molecular function"
"P07737",0.00151602433669045,"cell_organization","Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2","cell organization and biogenesis;developmental processes;other biological processes","cytosol;cytoskeleton;nucleus;other cell component","cytoskeletal activity;other molecular function"
"Q93050",0.00151404197361064,"protone_transmembrane_transport","V-type proton ATPase 116 kDa subunit a1 OS=Homo sapiens OX=9606 GN=ATP6V0A1 PE=1 SV=3","transport;other biological processes","plasma membrane;other membranes;cytosol;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component","transporter activity;other molecular function"
"P10606",0.00151400773888341,"oxidative_phosphorylation","Cytochrome c oxidase subunit 5B, mitochondrial OS=Homo sapiens OX=9606 GN=COX5B PE=1 SV=2","other metabolic processes;transport;other biological processes","other membranes;mitochondrion","transporter activity;other molecular function"
"Q9Y3D6",0.00150847321603967,"autophagy_&_mitophagy_regulation","Mitochondrial fission 1 protein OS=Homo sapiens OX=9606 GN=FIS1 PE=1 SV=2","cell organization and biogenesis;other metabolic processes;stress response;transport;signal transduction;other biological processes","other membranes;cytosol;mitochondrion;ER/Golgi;other cytoplasmic organelle;other cell component","other molecular function"
"P40121",0.00150395421064291,"cell_organization","Macrophage-capping protein OS=Homo sapiens OX=9606 GN=CAPG PE=1 SV=2","cell organization and biogenesis;developmental processes;other biological processes","non-structural extracellular;cytoskeleton;nucleus;other cell component","cytoskeletal activity;other molecular function"
"P09467",0.00149832954599814,"carb_anabolic_process","Fructose-1,6-bisphosphatase 1 OS=Homo sapiens OX=9606 GN=FBP1 PE=1 SV=5","other metabolic processes;other biological processes","cytosol;nucleus;other cell component","other molecular function"
"E9PB61",0.00149620131680111,"mRNA_transport","THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=1","","nucleus","nucleic acid binding activity"
"P49748",0.00148859821350244,"beta_oxidation","Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL PE=1 SV=1","other metabolic processes;stress response;other biological processes","other membranes;mitochondrion;nucleus","other molecular function"
"P08727",0.00147720659642274,"structural_proteins_hair_nail_epidermis","Keratin, type I cytoskeletal 19 OS=Homo sapiens OX=9606 GN=KRT19 PE=1 SV=4","cell organization and biogenesis;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;other cell component","cytoskeletal activity;other molecular function"
"Q8TF66",0.00147195887201569,"cell_organization","Leucine-rich repeat-containing protein 15 OS=Homo sapiens OX=9606 GN=LRRC15 PE=2 SV=2","other biological processes","non-structural extracellular;extracellular matrix;other membranes","other molecular function"
"O43790",0.00147112097428355,"structural_proteins_hair_nail_epidermis","Keratin, type II cuticular Hb6 OS=Homo sapiens OX=9606 GN=KRT86 PE=1 SV=1","","cytosol;cytoskeleton",""
"O76011",0.00147066005234031,"structural_proteins_hair_nail_epidermis","Keratin, type I cuticular Ha4 OS=Homo sapiens OX=9606 GN=KRT34 PE=1 SV=2","other biological processes","cytosol;cytoskeleton","other molecular function"
"Q15365",0.00146879774863708,"transcription","Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2","other biological processes","cytosol;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"Q86SE5",0.00146632941095676,"RNA_processing","RNA-binding Raly-like protein OS=Homo sapiens OX=9606 GN=RALYL PE=1 SV=2","","nucleus","other molecular function"
"P30038",0.00146312833254716,"AA_catabolic_process","Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH4A1 PE=1 SV=3","other metabolic processes","cytosol;mitochondrion","other molecular function"
"P10599",0.00146139635893716,"oxidative_stress_response","Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3","other metabolic processes;other biological processes","non-structural extracellular;cytosol;nucleus;other cell component","other molecular function"
"C9JIZ6",0.00146061383879851,"membrane_lipid_metabolism","Prosaposin OS=Homo sapiens OX=9606 GN=PSAP PE=1 SV=2","other metabolic processes;signal transduction;other biological processes","non-structural extracellular;other cytoplasmic organelle;other cell component",""
"P68104",0.00145921620455952,"translation","Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1","protein metabolism;other metabolic processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cytoplasmic organelle;other cell component","nucleic acid binding activity;other molecular function"
"P21964",0.00145106502589122,"neurotransmitter_&_-modulator_metabolism","Catechol O-methyltransferase OS=Homo sapiens OX=9606 GN=COMT PE=1 SV=2","other metabolic processes;stress response;other biological processes","plasma membrane;other membranes;cytosol;other cell component","other molecular function"
"F5H608",0.00145013265156094,"oxidative_phosphorylation","ATP synthase subunit d, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PD PE=1 SV=2","other metabolic processes;transport","other membranes;mitochondrion","transporter activity"
"P11413",0.00144729264017003,"additional_carb_catabolic_process","Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4","other metabolic processes;stress response;developmental processes;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component","other molecular function"
"P05387",0.00143498898018292,"translation","60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1","protein metabolism;other metabolic processes","cytosol;translational apparatus","other molecular function"
"Q14974",0.00143410430198558,"nuclear_transport","Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2","cell cycle OR cell proliferation;cell organization and biogenesis;transport;signal transduction;other biological processes","non-structural extracellular;other membranes;cytosol;ER/Golgi;nucleus;other cell component","other molecular function"
"H3BQZ7",0.0014219584847536,"(none/unknown)","HCG2044799 OS=Homo sapiens OX=9606 GN=HNRNPUL2-BSCL2 PE=4 SV=1","","nucleus",""
"A0A140TA64",0.0014200187253638,"keratinization","Uncharacterized protein OS=Homo sapiens OX=9606 GN=LOC100996750 PE=1 SV=1","","cytoskeleton",""
"Q9BYQ0",0.0014048252691302,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 9-8 OS=Homo sapiens OX=9606 GN=KRTAP9-8 PE=1 SV=2","","cytosol;cytoskeleton",""
"P20042",0.00140184533568144,"translation","Eukaryotic translation initiation factor 2 subunit 2 OS=Homo sapiens OX=9606 GN=EIF2S2 PE=1 SV=2","cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;developmental processes","cytosol;other cell component","nucleic acid binding activity;other molecular function"
"P04075",0.00139816700714799,"glycolysis","Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2","cell organization and biogenesis;other metabolic processes;other biological processes","non-structural extracellular;cytosol;cytoskeleton;other cell component","cytoskeletal activity;other molecular function"
"P48163",0.0013965227307713,"additional_carb_catabolic_process","NADP-dependent malic enzyme OS=Homo sapiens OX=9606 GN=ME1 PE=1 SV=1","other metabolic processes;other biological processes","cytosol;mitochondrion","other molecular function"
"P23396",0.00139011128674026,"translation","40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2","cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;DNA metabolism;other metabolic processes;stress response;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;ER/Golgi;translational apparatus;nucleus;other cell component","cytoskeletal activity;nucleic acid binding activity;other molecular function"
"B7Z2U2",0.00138980972171834,"intracellular_transport","TOM1-like protein 2 OS=Homo sapiens OX=9606 GN=TOM1L2 PE=1 SV=1","transport","","other molecular function"
"G3V325",0.00138862549284249,"(none/unknown)","ATP5MF-PTCD1 readthrough OS=Homo sapiens OX=9606 GN=ATP5MF-PTCD1 PE=4 SV=1","","",""
"P08559",0.00137397641138059,"additional_carb_catabolic_process","Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens OX=9606 GN=PDHA1 PE=1 SV=3","other metabolic processes","mitochondrion;nucleus;other cell component","other molecular function"
"H7C003",0.00137252592730907,"protein_modification","Protein phosphatase 1 regulatory subunit 7 (Fragment) OS=Homo sapiens OX=9606 GN=PPP1R7 PE=1 SV=1","","",""
"P35221",0.00136906963809489,"cell_adhesion_&_contact","Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1","cell adhesion;cell organization and biogenesis;stress response;developmental processes;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;other cell component","cytoskeletal activity;other molecular function"
"H3BNC9",0.00136528548520541,"translation","Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV=2","protein metabolism;RNA metabolism OR transcription;other metabolic processes;other biological processes","translational apparatus;other cell component","nucleic acid binding activity;other molecular function"
"Q674R7",0.00136016174180467,"autophagy_&_mitophagy_regulation","Autophagy-related protein 9B OS=Homo sapiens OX=9606 GN=ATG9B PE=1 SV=1","cell organization and biogenesis;other metabolic processes","other membranes;other cytoplasmic organelle;other cell component",""
"Q9NVJ2",0.00135822093103995,"intracellular_transport","ADP-ribosylation factor-like protein 8B OS=Homo sapiens OX=9606 GN=ARL8B PE=1 SV=1","cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;stress response;transport;other biological processes","other membranes;cytosol;cytoskeleton;other cytoplasmic organelle;other cell component","cytoskeletal activity;other molecular function"
"O95751",0.00135735562510884,"transcription","Protein LDOC1 OS=Homo sapiens OX=9606 GN=LDOC1 PE=1 SV=1","other biological processes","nucleus",""
"P02545",0.00134497522380659,"cell_organization","Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1","cell cycle OR cell proliferation;cell organization and biogenesis;stress response;transport;developmental processes;other biological processes","cytosol;cytoskeleton;nucleus;other cell component","other molecular function"
"P05091",0.00134146883606485,"xenobiotics_&_alcohol_metabolism","Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH2 PE=1 SV=2","other metabolic processes","mitochondrion","other molecular function"
"C9J867",0.00134121509169195,"nucleotide/-side_metabolism","Nucleoside diphosphate kinase 6 (Fragment) OS=Homo sapiens OX=9606 GN=NME6 PE=1 SV=1","other metabolic processes","","kinase activity"
"Q14204",0.00133872444149841,"intracellular_transport","Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5","cell cycle OR cell proliferation;cell organization and biogenesis;transport;other biological processes","non-structural extracellular;cytosol;cytoskeleton;other cytoplasmic organelle;other cell component","cytoskeletal activity;other molecular function"
"O60925",0.00133758208780848,"protein_folding","Prefoldin subunit 1 OS=Homo sapiens OX=9606 GN=PFDN1 PE=1 SV=2","other biological processes","other cell component","other molecular function"
"Q92874",0.0013254352232467,"further_DNA_metabolism","Deoxyribonuclease-1-like 2 OS=Homo sapiens OX=9606 GN=DNASE1L2 PE=1 SV=1","DNA metabolism;other metabolic processes;developmental processes","non-structural extracellular;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"G3V3X4",0.00131995301050008,"cell_organization","Glia maturation factor beta OS=Homo sapiens OX=9606 GN=GMFB PE=1 SV=1","other biological processes","","other molecular function"
"Q3SY84",0.00131770362534055,"structural_proteins_hair_nail_epidermis","Keratin, type II cytoskeletal 71 OS=Homo sapiens OX=9606 GN=KRT71 PE=1 SV=3","cell organization and biogenesis;developmental processes","cytosol;cytoskeleton",""
"P14618",0.00131687679024535,"glycolysis","Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4","other metabolic processes;other biological processes","non-structural extracellular;cytosol;ER/Golgi;nucleus;other cell component","nucleic acid binding activity;kinase activity;other molecular function"
"P11142",0.00131621609809646,"protein_folding","Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1","cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;transport;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;nucleus;other cytoplasmic organelle;other cell component","signal transduction activity or receptor binding;other molecular function"
"Q5TEC6",0.00131568055722172,"DNA_packaging","Histone H3 OS=Homo sapiens OX=9606 GN=H3-2 PE=1 SV=1","","other cell component","nucleic acid binding activity;other molecular function"
"Q9BYR9",0.00130460937873676,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 2-4 OS=Homo sapiens OX=9606 GN=KRTAP2-4 PE=1 SV=1","","cytosol;cytoskeleton",""
"D3YTB1",0.00129375483092231,"translation","60S ribosomal protein L32 (Fragment) OS=Homo sapiens OX=9606 GN=RPL32 PE=1 SV=1","protein metabolism;other metabolic processes","translational apparatus","other molecular function"
"A8MUD9",0.00129341006653101,"translation","60S ribosomal protein L7 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1","RNA metabolism OR transcription;other metabolic processes","cytosol;translational apparatus","other molecular function"
"Q04695",0.00128691284453848,"structural_proteins_hair_nail_epidermis","Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2","cell organization and biogenesis;developmental processes;other biological processes","cytosol;cytoskeleton;other cell component","other molecular function"
"Q9BVJ7",0.0012858250732636,"protein_modification","Dual specificity protein phosphatase 23 OS=Homo sapiens OX=9606 GN=DUSP23 PE=1 SV=1","protein metabolism;other metabolic processes","cytosol;nucleus;other cell component","other molecular function"
"E9PIE4",0.00127400054322678,"other_transmembrane_transport","Mitochondrial carrier homolog 2 (Fragment) OS=Homo sapiens OX=9606 GN=MTCH2 PE=1 SV=8","","other membranes",""
"P62701",0.00127048474653893,"translation","40S ribosomal protein S4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2","protein metabolism;other metabolic processes;developmental processes;other biological processes","cytosol;translational apparatus;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"P68431",0.00126559041562202,"DNA_packaging","Histone H3.1 OS=Homo sapiens OX=9606 GN=H3C1 PE=1 SV=2","cell organization and biogenesis","non-structural extracellular;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"Q9P1F3",0.00126260773679199,"cell_organization","Costars family protein ABRACL OS=Homo sapiens OX=9606 GN=ABRACL PE=1 SV=1","other biological processes","",""
"O00154",0.00126129843573532,"additional_lipid_catabolic_process","Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3","other metabolic processes","cytosol;mitochondrion;nucleus","other molecular function"
"Q7L7L0",0.00125549488932086,"DNA_packaging","Histone H2A type 3 OS=Homo sapiens OX=9606 GN=H2AW PE=1 SV=3","cell organization and biogenesis;DNA metabolism;other metabolic processes;stress response","nucleus;other cell component","nucleic acid binding activity;other molecular function"
"Q9BUF5",0.00125307158058151,"cell_organization","Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1","cell cycle OR cell proliferation;cell organization and biogenesis","cytoskeleton;other cell component","cytoskeletal activity;other molecular function"
"Q8WU76",0.00125081608152653,"intracellular_transport","Sec1 family domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SCFD2 PE=1 SV=2","transport","plasma membrane;other membranes;other cell component","other molecular function"
"P30046",0.00124691215666145,"melanin_metabolism","D-dopachrome decarboxylase OS=Homo sapiens OX=9606 GN=DDT PE=1 SV=3","other metabolic processes;other biological processes","non-structural extracellular;other cell component","signal transduction activity or receptor binding;other molecular function"
"P22735",0.00124620736731915,"protein_modification","Protein-glutamine gamma-glutamyltransferase K OS=Homo sapiens OX=9606 GN=TGM1 PE=1 SV=4","cell organization and biogenesis;protein metabolism;other metabolic processes;developmental processes;other biological processes","plasma membrane;other membranes;cytosol","other molecular function"
"Q6IPX4",0.00123952461902313,"translation","40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=1","protein metabolism;other metabolic processes","translational apparatus","other molecular function"
"P14174",0.00123255301361449,"inflammation_regulation","Macrophage migration inhibitory factor OS=Homo sapiens OX=9606 GN=MIF PE=1 SV=4","cell organization and biogenesis;other metabolic processes;stress response;signal transduction;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;nucleus;other cell component","signal transduction activity or receptor binding;other molecular function"
"Q8WWZ1",0.00123211568544473,"inflammation_regulation","Interleukin-1 family member 10 OS=Homo sapiens OX=9606 GN=IL1F10 PE=1 SV=1","stress response;signal transduction;other biological processes","non-structural extracellular;other cell component","signal transduction activity or receptor binding"
"Q02543",0.00122794477015527,"translation","60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2","protein metabolism;other metabolic processes;other biological processes","cytosol;translational apparatus;other cell component","other molecular function"
"E7EQB2",0.00122625371538188,"innate_immune_system","Lactotransferrin (Fragment) OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=1","protein metabolism;stress response;other biological processes","non-structural extracellular","other molecular function"
